Title,Start,End,Day of week,Duration
john doe,9/24/17 0:00,9/25/17 0:00,Sun,24:00:00
john doe,9/25/17 0:00,9/26/17 0:00,Mon,24:00:00
john doe,9/26/17 0:00,9/27/17 0:00,Tue,24:00:00
john doe,9/26/17 0:00,9/27/17 0:00,Tue,24:00:00
john doe,9/26/17 0:00,9/27/17 0:00,Tue,24:00:00
john doe,9/27/17 0:00,9/28/17 0:00,Wed,24:00:00
john doe,10/1/17 0:00,10/2/17 0:00,Sun,24:00:00
john doe,10/1/17 0:00,10/2/17 0:00,Sun,24:00:00
john doe,10/2/17 0:00,10/3/17 0:00,Mon,24:00:00
john doe,10/4/17 0:00,10/5/17 0:00,Wed,24:00:00
john doe,10/4/17 0:00,10/5/17 0:00,Wed,24:00:00
john doe,10/6/17 0:00,10/7/17 0:00,Fri,24:00:00
john doe,10/6/17 0:00,10/7/17 0:00,Fri,24:00:00
john doe,10/8/17 0:00,10/9/17 0:00,Sun,24:00:00
john doe,10/9/17 0:00,10/10/17 0:00,Mon,24:00:00
john doe,10/10/17 0:00,10/11/17 0:00,Tue,24:00:00
john doe,10/10/17 0:00,10/11/17 0:00,Tue,24:00:00
john doe,10/13/17 0:00,10/14/17 0:00,Fri,24:00:00
john doe,10/14/17 0:00,10/15/17 0:00,Sat,24:00:00
john doe,10/14/17 0:00,10/15/17 0:00,Sat,24:00:00
john doe,10/21/17 0:00,10/22/17 0:00,Sat,24:00:00
john doe,10/21/17 0:00,10/22/17 0:00,Sat,24:00:00
john doe,10/21/17 0:00,10/22/17 0:00,Sat,24:00:00
john doe,10/24/17 0:00,10/25/17 0:00,Tue,24:00:00
john doe,10/25/17 0:00,10/26/17 0:00,Wed,24:00:00
john doe,10/27/17 0:00,10/28/17 0:00,Fri,24:00:00
john doe,10/28/17 0:00,10/29/17 0:00,Sat,24:00:00
john doe,10/28/17 0:00,10/29/17 0:00,Sat,24:00:00
john doe,10/28/17 0:00,10/29/17 0:00,Sat,24:00:00
john doe,10/29/17 0:00,10/30/17 0:00,Sun,24:00:00
